00:00:00 - 00:00:02  |    Fuck.
00:55:02 - 00:55:07  |    Den der måde at vende kommunikationen om og kommunikere anderledes til kvinder, det tror jeg virkelig,
00:55:07 - 00:55:09  |    det er virkelig, der er meget brug for.
00:55:09 - 00:55:12  |    Det samme er også det her med kvindelige chefer.
00:55:12 - 00:55:15  |    Når jeg spørger nogen, der spørger mig, hvorfor har I ikke flere kvinder i jeres toplevelse,
00:55:15 - 00:55:20  |    så siger de, det er fordi, der står fem mand, eller fem mand, der kommer og melder sig og siger, at de gerne vil.
00:55:20 - 00:55:23  |    Så er det bare så nemt at vælge en af dem, og det er det helt sikkert,
00:55:23 - 00:55:29  |    men vi skal jo anerkende, at vi er forskellige, og vi skal også anerkende, at når vi er diverse,
00:55:29 - 00:55:34  |    altså når vi er forskellige, at det gode team kommer, at den gode virksomhed vokser,
00:55:34 - 00:55:36  |    og det ved vi, det viser alle undersøgelser.
00:55:36 - 00:55:40  |    Så man bliver nødt til at gøre en ekstra indsats for at finde en kvindelig ledere,
00:55:40 - 00:55:45  |    så må man ned og finde hende nede på bagerste række, for det kan godt være, at hun ikke råbte lige så højt som manden,
00:55:45 - 00:55:47  |    det kan godt være, at hun ikke meldte sig som det første,
00:55:47 - 00:55:49  |    det kan også godt være, at hun har brug for at klog kl. 3 om onsdagen,
00:55:49 - 00:55:52  |    fordi hun ville hente børn et par gange om ugen, eller hvordan det nu er.
00:55:52 - 00:55:55  |    Men rent faktisk, så kan vi se hendes kompetencer, og det hun kan,
00:55:55 - 00:56:01  |    og det kan også bidrage ind i vores lederteam, eller i vores virksomhed.
00:56:01 - 00:56:03  |    Super, super godt.
00:56:03 - 00:56:05  |    Jeg ved ikke, hvorfor jeg så tør i altid.
00:56:05 - 00:56:09  |    Der er altså også en kronosivård, hvor man bliver snakket.
00:56:09 - 00:56:14  |    Når jeg får munddiarréer, bare snakker, så får jeg tør i altid.
00:56:14 - 00:56:16  |    Det er rigtigt så virkelig glad.
00:56:16 - 00:56:21  |    Det er ikke, fordi det er i luften.
00:56:21 - 00:56:23  |    Det er en kronosivård.
00:56:23 - 00:56:26  |    Det er så fint.
00:56:26 - 00:56:33  |    Hvordan har modtækkelsen, da I åbnede vejret af Female Founders?
00:56:33 - 00:56:37  |    Altså tænker du på huset, eller tænker du på vores firma?
00:56:37 - 00:56:41  |    På huset, og det er ligesom ved jeres mission.
00:56:41 - 00:56:45  |    Okay, det er to forskellige ting, så jeg tager dem bare fra starten.
00:56:45 - 00:56:47  |    Den gang, at vi startede Nordic Female Founders,
00:56:47 - 00:56:50  |    der oplevede vi bare en kæmpe medvind.
00:56:50 - 00:56:54  |    Alle ville gerne den her dagsorden, og alle ville også gerne backe op om den.
00:56:54 - 00:56:58  |    Så vi har virkelig fået medvind.
00:56:58 - 00:57:00  |    Men det er også en svær rejse,
00:57:00 - 00:57:04  |    fordi alle ville gerne heppe, og alle ville gerne være med.
00:57:04 - 00:57:08  |    Det er bare ikke så mange, der gerne vil hjælpe med at finansiere det.
00:57:08 - 00:57:13  |    Så det har jo været en af vores udfordringer, at vi ligesom skal være med.
00:57:13 - 00:57:16  |    Vi ligesom selv finansierer det her, så vi selv bruger pengene på
00:57:16 - 00:57:23  |    at arbejde så samfundsorienteret, og så dagsorden præget, som vi gør.
00:57:23 - 00:57:27  |    Heldigvis så fandt vi jo en samarbejdspartner på Sjødan,
00:57:27 - 00:57:30  |    som virkelig gerne ville den her dagsorden også.
00:57:30 - 00:57:33  |    Samarbejdet med dem har ligesom gjort, at vi kunne få det her hus.
00:57:33 - 00:57:38  |    Vi havde aldrig fået det her hus, hvis vi ikke havde haft så stor en samarbejdspartner.
00:57:38 - 00:57:41  |    Så nu har vi jo fået det her Female Founders House,
00:57:41 - 00:57:44  |    og efter vi har fået det, der er der kommet rigtig mange samarbejdspartnere til,
00:57:44 - 00:57:47  |    som gerne vil være med til at løfte dagsordenen.
00:57:47 - 00:57:51  |    Så på det politiske plan, altså på de store virksomheder rent politisk,
00:57:51 - 00:57:55  |    så er der rigtig meget medvind.
00:57:55 - 00:57:59  |    Det er rigtig meget modvind. Det er bare nogle røvård, altså.
00:57:59 - 00:58:02  |    Så på det politiske plan, og blandt de store virksomheder,
00:58:02 - 00:58:05  |    så er der rigtig meget medvind.
00:58:05 - 00:58:08  |    Jeg tager den igen, for vi kan ikke fylde os i medvinden.
00:58:08 - 00:58:12  |    Så på det politiske plan, både hos politikerne og hos de store virksomheder,
00:58:12 - 00:58:15  |    så får vi rigtig meget hjælp at støtte.
00:58:15 - 00:58:18  |    Det, som jeg synes, er fedt, det er, når vi for eksempel,
00:58:18 - 00:58:22  |    sådan som i dag, skal mødes med mere end 100 kvillige virksomheder.
00:58:22 - 00:58:25  |    Det er dermed, at vi bare inviterer åbent ind,
00:58:25 - 00:58:28  |    og så kommer de bare, og de kommer bare for at netværke med hinanden.
00:58:28 - 00:58:32  |    Det elsker jeg. Jeg bliver sådan helt høj af energien.
00:58:32 - 00:58:36  |    Jeg synes også, det er enormt fedt, at det ikke er afhængigt af mig eller Mia,
00:58:36 - 00:58:38  |    for den sags skyld.
00:58:38 - 00:58:41  |    Men det er med, at vi faciliterer et sted, hvor de kan møde hinanden,
00:58:41 - 00:58:43  |    og hvor de kan få energi af hinanden.
00:58:43 - 00:58:45  |    Det synes jeg er fedt.
00:58:45 - 00:58:47  |    For i så har vi i hvert fald gjort noget rigtigt.
00:58:47 - 00:58:51  |    Så har vi rent faktisk gjort, at de har et fællesskab og et netværk.
00:58:51 - 00:58:53  |    Rigtig mange kvindelige virksomheder siger også,
00:58:53 - 00:58:56  |    at de føler sig ensomme nogle gange, når de driver virksomhed.
00:58:56 - 00:59:00  |    Når mænd driver virksomhed, så kender de typisk andre, der driver virksomhed,
00:59:00 - 00:59:03  |    fordi der er simpelthen flere mænd, der driver virksomhed.
00:59:03 - 00:59:06  |    Så når man er kvindelige virksomheder, så kan man godt føle sig alene,
00:59:06 - 00:59:08  |    og det elsker jeg bare.
00:59:08 - 00:59:11  |    Når vi holder de her netværksarrangementer, så kan man bare mærke,
00:59:11 - 00:59:14  |    hvordan de bare sprødler af energi.
00:59:14 - 00:59:19  |    Jeg har en historie om, at vi havde lavet et netværksdag i Aarhus,
00:59:19 - 00:59:22  |    og vi havde haft nogen nede. Super sjovt.
00:59:22 - 00:59:25  |    Så laver vi det året efter igen.
00:59:25 - 00:59:30  |    Så følte de de grupper, som de havde mødtes med sidste år,
00:59:30 - 00:59:32  |    og de er så søde at række hånden op og sige,
00:59:32 - 00:59:35  |    at vi er faktisk en gruppe fra sidste gang, i lavede det her,
00:59:35 - 00:59:38  |    som er mødtes, og vi kom her sammen, og så var der sådan nogen, der sagde,
00:59:38 - 00:59:40  |    det er vi faktisk også, og det er vi faktisk også.
00:59:40 - 00:59:45  |    Og så endte det med, at der var flere grupper, der lavede julefrokosten sammen om aftenen,
00:59:45 - 00:59:50  |    og så endte ud sådan et større fællesskab, hvor de så skulle have julefrokost.
00:59:50 - 00:59:52  |    Og det med, at det ikke er afhængig af os,
00:59:52 - 00:59:55  |    at det ikke sådan hele tiden er os, der skal facilitere det,
00:59:55 - 00:59:58  |    fordi vi kan jo ikke røse tusinde stykker,
00:59:58 - 01:00:05  |    men det med, at vi synes, at der er noget, der sker.
